Follow;Volgen
Wiki <col=ff9040>Ardougne Journal</col>;Wiki <col=ff9040>Ardougne Journal</col>
Wiki <col=ff9040>Desert Journal</col>;Wiki <col=ff9040>Woestijnjournaal</col>
Show on map:;Toon op kaart:
Start Quest Helper;Zoektochthelper starten
Open wiki quick guide:;Wiki-korte handleiding openen:
Open <col=ff9040>Desert Journal</col>;Open <col=ff9040>Woestijnjournaal</col>
Open <col=ff9040>Ardougne Journal</col>;Open <col=ff9040>Ardougne Journal</col>
Collection Overview;Collectieoverzicht
Tasks;Taken
Achievement Diaries;Prestatiedagboeken
Bosses;Bazen
Overview;Overzicht
Collection Log;Verzamellogboek
Reveal;Onthullen
Activate;Activeren
View;Weergave
Cast;Vorm
Setup;Installatie
Join;Meedoen
Grouping;Groepering
View another clan;Bekijk een andere clan
Configure;Configureer
Grand Exchange;Grote Beurs
Your Clan;Jouw clan
Random;Willekeurig
Toggle;Schakelaar
Manual;Handmatig
Auto retaliate;Automatische vergelding
Block;Blok
Settings;Instellingen
Punch;Pons
Kick;Trap
Unlock hint;Ontgrendel hint
I don't know it.;Ik weet het niet.
Exit;Uitgang
Select;Selecteer
View Inbox;Bekijk Postvak IN
Skills;Vaardigheden
View <col=ff981f>Fishing</col> guide;Bekijk de <col=ff981f>Visserij</col> gids
Combat Options;Gevechtsopties
Enable spell filtering;Schakel spellingfiltering in
Disable prayer filtering;Schakel gebedsfiltering uit
Worn Equipment;Versleten uitrusting
Character Summary;Karaktersamenvatting
Enable spell reordering;Schakel het opnieuw ordenen van spellingen in
Enable prayer reordering;Schakel het opnieuw ordenen van gebeden in
Quest List;Questlijst
Magic;Magie
Prayer;Gebed
Show;Show
Open Store;Winkel openen
Deposit;Borg
Loot;Buit
Destroy;Vernietigen
Music Player;Muziekspeler
Chop down;Hak neer
Inventory;Inventaris
Useful links;Nuttige links
<col=ffff00>Trade:</col> Show none;<col=ffff00>Handel:</col> Geen tonen
<col=ffff00>Trade:</col> Show friends;<col=ffff00>Ruilen:</col> Laat vrienden zien
Community;Gemeenschap
<col=ffff00>Clan:</col> Show none;<col=ffff00>Clan:</col> Geen tonen
<col=ffff00>Channel:</col> Show none;<col=ffff00>Kanaal:</col> Geen tonen
Display;Weergave
<col=ffff00>Private:</col> Show friends;<col=ffff00>Privé:</col> Laat vrienden zien
Audio;Audio
<col=ffff00>Set chat mode:</col> Clan (/@c);<col=ffff00>Chatmodus instellen:</col> Clan (@c)
Switch tab;Van tabblad wisselen
Report game bug;Spelfout melden
<col=ffff00>Private:</col> Clear history;<col=ffff00>Privé:</col> Geschiedenis wissen
<col=ffff00>Channel:</col> Show all;<col=ffff00>Kanaal:</col> Toon alles
Configure filter;Configureer filter
Emotes;Emotes
Account;Rekening
<col=ffff00>Public:</col> Show autochat;<col=ffff00>Openbaar:</col> Autochat tonen
<col=ffff00>Clan:</col> Clear history;<col=ffff00>Clan:</col> Geschiedenis wissen
Report abuse;Misbruik melden
<col=ffff00>Public:</col> Show none;<col=ffff00>Openbaar:</col> Geen tonen
Ignore List;Lijst negeren
<col=00ff00>Filter public chat</col>;<col=00ff00>Openbare chat filteren</col>
<col=ffff00>Game:</col> Filter;<col=ffff00>Spel:</col> Filter
<col=00afff>Setup your autochat</col>;<col=00afff>Stel uw autochat in</col>
Take;Nemen
<col=ffff00>Private:</col> Show none;<col=ffff00>Privé:</col> Geen tonen
<col=ffff00>Trade:</col> Show all;<col=ffff00>Handel:</col> Toon alles
<col=ffff00>Clan:</col> Show friends;<col=ffff00>Clan:</col> Toon vrienden
Account Management;Accountbeheer
Chat-channel;Chat-kanaal
<col=ffff00>Public:</col> Clear history;<col=ffff00>Openbaar:</col> Geschiedenis wissen
<col=ffff00>Clan:</col> Show all;<col=ffff00>Clan:</col> Toon alles
<col=ffff00>Channel:</col> Show friends;<col=ffff00>Kanaal:</col> Toon vrienden
<col=ffff00>Private:</col> Show all;<col=ffff00>Privé:</col> Alles weergeven
Logout;Uitloggen
<col=ffff00>Set chat mode:</col> Guest Clan (/@gc);<col=ffff00>Chatmodus instellen:</col> Gastclan (@gc)
<col=ffff00>Channel:</col> Clear history;<col=ffff00>Kanaal:</col> Geschiedenis wissen
Friends List;Vriendenlijst
World Switcher;Wereldwisselaar
<col=ffff00>Public:</col> Show standard;<col=ffff00>Openbaar:</col> Toon standaard
<col=ffff00>Set chat mode:</col> Channel (/@f);<col=ffff00>Chatmodus instellen:</col> Kanaal (@f)
<col=ffff00>Set chat mode:</col> Public (/@p);<col=ffff00>Chatmodus instellen:</col> Openbaar (@p)
Controls;Controles
<col=ffff00>Public:</col> Hide;<col=ffff00>Openbaar:</col> Verbergen
<col=ffff00>Public:</col> Show friends;<col=ffff00>Openbaar:</col> Toon vrienden
Close;Dichtbij
Show on Map;Toon op kaart
Outside;Buiten
Yanille;Yanille
Warnings;Waarschuwingen
Seers';zieners
Enable warning;Waarschuwing inschakelen
Animation;Animatie
Open <col=ff9040>Fremennik Journal</col>;Open <col=ff9040>Fremennik Journal</col>
Wiki <col=ff9040>Lumbridge & Draynor Journal</col>;Wiki <col=ff9040>Lumbridge & Draynor Journal</col>
Wiki <col=ff9040>Kourend & Kebos Journal</col>;Wiki <col=ff9040>Kourend & Kebos Journal</col>
Open <col=ff9040>Karamja Journal</col>;Open <col=ff9040>Karamja-dagboek</col>
Open <col=ff9040>Lumbridge & Draynor Journal</col>;Open <col=ff9040>Lumbridge & Draynor Journal</col>
Wiki <col=ff9040>Falador Journal</col>;Wiki <col=ff9040>Falador-dagboek</col>
Wiki <col=ff9040>Fremennik Journal</col>;Wiki <col=ff9040>Fremennik-tijdschrift</col>
Open <col=ff9040>Kandarin Journal</col>;Open <col=ff9040>Kandarin-dagboek</col>
Wiki <col=ff9040>Karamja Journal</col>;Wiki <col=ff9040>Karamja-dagboek</col>
Open <col=ff9040>Falador Journal</col>;Open <col=ff9040>Falador Journaal</col>
Open <col=ff9040>Kourend & Kebos Journal</col>;Open <col=ff9040>Kourend & Kebos Journaal</col>
Wiki <col=ff9040>Kandarin Journal</col>;Wiki <col=ff9040>Kandarin-dagboek</col>
Bond Pouch;Bond-zakje
DPS;DPS
Search;Zoekopdracht
Learn More;Meer informatie
Open;Open
Pick;Kies
Join Castle Wars;Sluit je aan bij Castle Wars
Attack;Aanval
Climb-down;Klim naar beneden
Travel;Reis
Rest;Rest
Build;Bouwen
Check;Rekening
Tend-to;Neiging tot
Add friend;Vriend toevoegen
Add ignore;Voeg negeren toe
Enter-guest;Enter-gast
Climb-up;Klim omhoog
Enter;Binnenkomen
Enter-member;Enter-lid
Items;Artikelen
Knock-at;Klop-op
Smith;Smit
Pet;Huisdier
Shoo-away;Schiet weg
Continue;Doorgaan
Trade;Handel
Create <col=ff9040>Sell</col> offer;Maak een <col=ff9040>Verkoop</col> aanbieding
Favourite;Favoriet
Switch;Schakelaar
2;2 
Create <col=ff9040>Buy</col> offer;Maak een <col=ff9040>Koop</col> aanbieding
1;1 
Clear;Duidelijk
-5%;-5%
Collect to inventory;Verzamel naar inventaris
+5%;+5%
Modify offer;Aanbieding aanpassen
Confirm;Bevestigen
Abort offer;Aanbieding afbreken
View offer;Bekijk aanbieding
Collect to bank;Verzamelen naar de bank
Enter price;Voer prijs in
Customise;Pas aan
Guide price;Richtprijs
All;Alle
Enter quantity;Voer het aantal in
+1;+1
Offer;Aanbod
Buy: 1 x Nature rune;Koop: 1 x Natuurrune
Buy-offer;Koop-aanbieding
Chop-down;Afhaken
Look North;Kijk naar het noorden
Look South;Kijk naar het zuiden
Look East;Kijk naar het oosten
Look West;Kijk naar het westen
Hide;Verbergen
Cook;Kok
Refresh;Vernieuwen
Message;Bericht
Delete;Verwijderen
Add Friend;Vriend toevoegen
Delete Friend;Vriend verwijderen
Find;Vinden
Toggle Run;Schakel Uitvoeren in
Open subsection;Onderafdeling openen
Pickpocket;Zakkenroller
Claim-staves;Claim-stokken
Rake;Hark
3;3 
Inspect;Inspecteren
Toggle unlock message;Schakel het ontgrendelingsbericht in
Select <col=ff981f>Chat;Selecteer <col=ff981f>Chatten
Mute;Stom
All Settings;Alle instellingen
Select <col=ff981f>Activities;Selecteer <col=ff981f>Activiteiten
Select <col=ff981f>Gameplay;Selecteer <col=ff981f>Gameplay
Select <col=ff981f>Audio;Selecteer <col=ff981f>Audio
Select <col=ff981f>Display;Selecteer <col=ff981f>Weergeven
Select <col=ff981f>Warnings;Selecteer <col=ff981f>Waarschuwingen
View-journal;Bekijk-dagboek
Stats;Statistieken
Rummage;Snuffelen
Switch View;Weergave wijzigen
Guide;Gids
View tab;Tabblad bekijken
Collapse tab;Tabblad samenvouwen
Withdraw-X;Intrekken-X
Withdraw-10000;Intrekken-10000
Withdraw-10;Intrekken-10
Withdraw-All;Alles intrekken
Remove placeholders;Tijdelijke aanduidingen verwijderen
Withdraw-5;Intrekken-5
Withdraw-All-but-1;Trek-alles-behalve-1 terug
Withdraw-1;Intrekken-1
Release;Uitgave
Default quantity: 10,000;Standaardhoeveelheid: 10.000
Default quantity: 1;Standaardhoeveelheid: 1
Set custom quantity;Aangepaste hoeveelheid instellen
View tag tab;Tabblad Tag bekijken
Rename tag tab;Hernoem het tagtabblad
Delete tag tab;Tabblad Tag verwijderen
Default quantity: 10;Standaardhoeveelheid: 10
Enable layout;Indeling inschakelen
Change icon;Pictogram wijzigen
Export tag tab;Tabblad Exporttag
Makeover;Make-over
Unlock;Ontgrendelen
Read;Lezen
Walk-down;Naar beneden lopen
Study;Studie
Dismiss;Afwijzen
Look-at;Kijk-naar
Focus on;Focus op
Cancelar;Annuleren
Climb;Beklimmen
Clear history;Geschiedenis wissen
Item;Item
Note;Opmerking
Swap;Ruil
Insert;Invoegen
Default quantity: All;Standaardhoeveelheid: Alles
Deposit inventory;Inventaris deponeren
Deposit worn items;Bewaar versleten artikelen
Disable;Uitzetten
Default quantity: 5;Standaardhoeveelheid: 5
Withdraw-14;Intrekken-14
Pay (Fruit tree);Betalen (Fruitboom)
Default quantity: 14;Standaardhoeveelheid: 14
Wield;Hanteren
Wear;Dragen
Dismantle;Ontmantelen
Minimise <col=ff9040>Minimap</col>;Minimaliseer <col=ff9040>Minimap</col>
Floating <col=ff9040>World Map</col>;Zwevende <col=ff9040>Wereldkaart</col>
Fullscreen <col=ff9040>World Map</col>;Volledig scherm <col=ff9040>Wereldkaart</col>
Castle Wars;Kasteeloorlogen
Collect-from;Verzamel-van
Tears of Guthix;Tranen van Guthix
Farm Teleport;Boerderij Teleport
Pray-at;Bid-bij
Story;Verhaal
Equip;Uitrusten
Wintertodt Camp;Wintertodt-kamp
Rub;Wrijven
Corporeal Beast;Lichamelijk beest
Monastery Teleport;Klooster Teleport
Fortis Colosseum;FortisColosseum
Ferox Enclave;Ferox-enclave
Barbarian Outpost;Barbaarse buitenpost
Emir's Arena;Emir's Arena
Burthorpe;Burthorpe
Drink;Drankje
Open Activity Adviser;Open activiteitenadviseur
Mine;De mijne
Uncharge;Ontladen
Xeric's Lookout;Xerics uitkijkpost
Steal-from;Steel-van
Xeric's Honour;Xerics eer
Check steps;Controleer stappen
Teleport;Teleporteren
Enable prayer filtering;Schakel gebedsfiltering in
Trim;Trimmen
Perform;Presteren
Loop;Lus
Xeric's Glade;Xerics Glade
Xeric's Heart;Xerics hart
Remove default;Standaard verwijderen
Xeric's Inferno;Xerics Inferno
Deposit-X;Storting-X
Deposit-All;Storting-Alles
Default quantity: <col=ff9040>5</col>;Standaard aantal: <col=ff9040>5</col>
Deposit Lock Settings;Instellingen voor stortingsvergrendeling
Disable inventory locks;Schakel voorraadvergrendelingen uit
Deposit-10;Borg-10
Deposit-1;Borg-1
Deposit-5;Storting-5
Default quantity: <col=ff9040>1</col>;Standaard aantal: <col=ff9040>1</col>
Shave;Scheren
Haircut;Kapsel
Net;Netto
Toggle Accept Aid;Schakel Hulp accepteren in
Empty;Leeg
Eat;Eten
Adventure Paths;Avonturenpaden
Clean;Schoon
Smith set;Smit ingesteld
Stab;Steken
Lunge;Longe
Slash;Snij
Placeholder;Tijdelijke aanduiding
Name Changer;Naamwisselaar
Upgrade Now;Upgrade nu
Disable spell filtering;Schakel spellingfiltering uit
Close <col=ff9040>Floating panel</col>;Sluit <col=ff9040>Zwevend paneel</col>
Ultimate Ironman;Ultieme Ironman
7 days;7 dagen
Hardcore Group Ironman;Hardcoregroep Ironman
Unranked Group Ironman;Niet-gerangschikte groep Ironman
None;Geen
Group Ironman;Groep Ironman
Ironman;Ijzerman
Hardcore Ironman;Harde Ironman
Proceed;Doorgaan
90 days;90 dagen
Top-floor;Bovenste verdieping
Cross;Kruis
Smelt;Spiering
Bait;Aas
Toggle warnings;Schakel waarschuwingen in
Lure;Lokken
Buy;Kopen
Bury;Begraven
Check Kudos;Controleer complimenten
Look at;Kijken naar
Light;Licht
Adjust Brightness;Pas de helderheid aan
Select <col=ff981f>Controls;Selecteer <col=ff981f>Besturingselementen
Board;Bord
Grapple;Grijper
Toggle skull prevention;Schakel schedelpreventie in of uit
Restore Default Zoom;Herstel standaardzoom
Select <col=ff981f>Interfaces;Selecteer <col=ff981f>Interfaces
Buy-X;Koop-X
Potions;Drankjes
Buy-5;Koop-5
Buy-1;Koop-1
Buy-All;Koop-alles
Show worn items;Laat gedragen items zien
Bottom-floor;Benedenverdieping
Locate;Lokaliseren
Disable Adventure Paths;Schakel avonturenpaden uit
Repair;Reparatie
Show<col=ff9040> Task information;Toon<col=ff9040> ​​Taakinformatie
Expand;Uitbreiden
Show task: <col=ff9040>Getting started with Mining;Taak weergeven: <col=ff9040>Aan de slag met mijnbouw
More info;Meer informatie
Check reward;Controleer beloning
Show<col=ff9040> Paths;Toon<col=ff9040> ​​paden
Claim-trophies;Claim-trofeeën
Set<col=ff9040> Focus;Stel<col=ff9040> ​​Focus in
Show task: <col=ff9040>Getting started with Fishing;Taak weergeven: <col=ff9040>Aan de slag met vissen
Select <col=ff9040>Gatherer path;Selecteer <col=ff9040>Verzamelaarpad
Show task: <col=ff9040>Getting started with Woodcutting;Taak weergeven: <col=ff9040>Aan de slag met houtsnijden
Pick-from;Pick-van
Drop<col=ff9040> Focus;Laat de focus vallen<col=ff9040>
Suck;Zuigen
Close dropdown;Sluit de vervolgkeuzelijst
Select <col=ff9040>Combat path;Selecteer <col=ff9040>Gevechtspad
Armour;Pantser
Show<col=ff9040> Settings;Toon<col=ff9040> ​​Instellingen
Show <col=ff9040>path reward;Toon <col=ff9040>padbeloning
View House Options;Bekijk huisopties
Open Bond Pouch;Open Bond-zakje
Empty containers;Lege containers
Enable <col=ff9040>Notes;Schakel <col=ff9040>Notities in
Enable <col=ff9040>Insert;Schakel <col=ff9040>Invoegen in
Age;Leeftijd
Enable;Inschakelen
Open Adventure Paths;Open avonturenpaden
Show task: <col=ff9040>Sharpshooter;Taak weergeven: <col=ff9040>Scherpschutter
Claim;Claim
Show task: <col=ff9040>Getting started with Magic;Taak weergeven: <col=ff9040>Aan de slag met Magic
Show task: <col=ff9040>Getting a grip on it;Toon taak: <col=ff9040>Er grip op krijgen
Show task: <col=ff9040>Body builder;Taak weergeven: <col=ff9040>Bodybuilder
Show task: <col=ff9040>Getting started with Attack;Taak weergeven: <col=ff9040>Aan de slag met Attack
Show task: <col=ff9040>Striking a pose;Taak weergeven: <col=ff9040>Een pose aannemen
Show task: <col=ff9040>Honing my aim;Taak weergeven: <col=ff9040>Mijn doel aanscherpen
Show task: <col=ff9040>Bringer of chaos;Taak weergeven: <col=ff9040>Brenger van chaos
Show task: <col=ff9040>Building muscle;Toon taak: <col=ff9040>Spiermassa opbouwen
Show task: <col=ff9040>Mithril defence;Toon taak: <col=ff9040>Mithril verdediging
Show task: <col=ff9040>Getting started with Defence;Taak weergeven: <col=ff9040>Aan de slag met Defensie
Show task: <col=ff9040>Getting started with Strength;Taak weergeven: <col=ff9040>Aan de slag met kracht
Show task: <col=ff9040>Sticks and stones;Toon taak: <col=ff9040>Stokken en stenen
Show task: <col=ff9040>Weapons master;Toon taak: <col=ff9040>Wapenmeester
Show task: <col=ff9040>Getting started with Ranged;Taak weergeven: <col=ff9040>Aan de slag met Ranged
Talk-To;Praat met
Shut;Sluit
Pay-toll(10gp);Betaaltol(10gp)
Revert;Terugdraaien
Deactivate;Deactiveren
Ironman Group;Ironman-groep
Predict;Voorspellen
Leave;Vertrekken
Copy-outfit;Kopieer-outfit
<col=ffff00>Group:</col> Clear history;<col=ffff00>Groep:</col> Geschiedenis wissen
Jump;Springen
Challenge;Uitdaging
Reanimate;Reanimeren
Quick Pass;Snelle pas
Pass;Doorgang
<col=ffff00>Group:</col> Show friends;<col=ffff00>Groep:</col> Vrienden tonen
<col=ffff00>Group:</col> Show all;<col=ffff00>Groep:</col> Alles weergeven
<col=ffff00>Group:</col> Show none;<col=ffff00>Groep:</col> Geen tonen
Quench;Afschrikken
Withdraw-18;Intrekken-18
Inside;Binnen
Home;Thuis
Group;Groep
Deposit-18;Borg-18
Build mode;Bouwmodus
Resurrect;Herrijzen
Friend's house;Het huis van een vriend
Break;Pauze
Rest (private);Rust (privé)
Equipment;Apparatuur
Check Charges;Controleer kosten
Sort;Soort
Catch;Vangst
Pick-lots;Pick-lots
A Dark Disposition;Een donkere instelling
Jewellery of Jubilation;Sieraden van gejubel
Store-X;Winkel-X
Touch;Aanraken
Lunch by the Lancalliums;Lunch bij de Lancalliums
Store;Winkel
Reminisce;Nagenieten
Shared;Gedeeld
Dig;Graven
Store-5;Winkel-5
Take Seed Dibber;Neem Seed Dibber
Withdraw all;Alles intrekken
Upgrade;Upgraden
Withdraw;Terugtrekken
The Fisher's Flute;De Vissersfluit
Store-All;Winkel-Alles
Take Spade;Neem Spade
Take Rake;Neem Rake
Deposit all;Stort alles
Quick-pass;Snelle pass
History and Hearsay;Geschiedenis en geruchten
Store-10;Winkel-10
Private;Privé
Spin;Draai
Churn;Karn
Shear;Scheer
Close Activity Adviser;Sluit activiteitenadviseur
Chart;Grafiek
Last-destination (AIP);Laatste bestemming (AIP)
Zoom out;Uitzoomen
Zanaris;Zanaris
Buy 50;Koop 50
Value;Waarde
Buy 10;Koop 10
Buy 1;Koop 1
Buy-50;Koop-50
Buy 5;Koop 5
Climb-over;Klim eroverheen
Milk;Melk
Take-axe;Neem-bijl
Steal-cowbell;Steel-koebel
View Newspost;Bekijk Nieuwsbericht
View History;Geschiedenis bekijken
New tab;Nieuw tabblad
Collapse;Instorten
New tag tab;Nieuw tagtabblad
Import tag tab;Tabblad Importtag
View tag tabs;Bekijk tagtabbladen
View journal <col=ff981f>The Restless Ghost</col>;Bekijk dagboek <col=ff981f>De rusteloze geest</col>
View all items;Bekijk alle artikelen
Rotate-clockwise;Draai met de klok mee
Pick-up;Ophalen
Rotate-anticlockwise;Draaien tegen de klok in
Release-bees;Vrijlating-bijen
Dig-up;Opgraven
Change;Wijziging
Remove board advert;Bordadvertentie verwijderen
Teleport Menu;Teleport-menu
Attach;Bijvoegen
Lock;Slot
Sit-on;Zitten
Metamorphosis;Metamorfose
Fossil Island;Fossiel eiland
Configuration;Configuratie
Teleport menu;Teleport-menu
Great Kourend;Grote Kourend
Fill;Vullen
Chop;Karbonade
View journal <col=ff981f>X Marks the Spot</col>;Bekijk dagboek <col=ff981f>X Marks the Spot</col>
Sell 50<col=ff9040>;Verkoop 50<col=ff9040>
Sell 10<col=ff9040>;Verkoop 10<col=ff9040>
Sell 1<col=ff9040>;Verkoop 1<col=ff9040>
Buy-10;Koop-10
Value<col=ff9040>;Waarde<col=ff9040>
Feel;Gevoel
Sell 5<col=ff9040>;Verkoop 5<col=ff9040>
Steal from;Steel van
Herblore;Herblore
Strength;Kracht
Woodcutting;Houtsnijden
Farming;Landbouw
Crafting;Knutselen
Hitpoints;Hitpunten
View journal <col=ff981f>Cook's Assistant</col>;Bekijk dagboek <col=ff981f>Kokassistent</col>
Fishing;Vissen
Construction;Bouw
Climb-into;Klim erin
Mining;Mijnbouw
Ranged;Bereikt
Slayer;Moordenaar
Agility;Wendbaarheid
Fletching;Fletching
Sailing;Zeilen
Operate;Bedienen
View journal <col=ff981f>Romeo & Juliet</col>;Bekijk dagboek <col=ff981f>Romeo & Julia</col>
Take-flyer;Neem-flyer
+100;+100
+10;+10
-1;-1
Back;Rug
+1K;+1K
Choose item;Kies artikel
Flash icons;Flitspictogrammen
Sacrifice;Offer
Take-All;Neem alles
Jump-in;Spring erin
View journal <col=ff981f>Rune Mysteries</col>;Bekijk dagboek <col=ff981f>Rune Mysteries</col>
Coffer;Koffer
Picklock;Inbreker
Switch world;Wissel van wereld
Pass-Through;Doorgang
Small Net;Klein Net
